project_folder,score,unsafe_removed,unsafe_remaining,passtests,agent_safety_prompt_call_duration_sec,agent_safety_prompt_output_tokens
zlib_attempt1,0.04662379421221865,29,593,True,201.31755717936903,23101
zlib_attempt2,0.0016863406408094434,1,592,True,87.5410035289824,8096
zlib_attempt3,0.0,0,592,True,112.26809159759432,10680
zlib_attempt4,0.016891891891891893,10,582,True,216.1313538942486,22186
zlib_attempt5,0.0,0,582,True,157.48151207901537,14902
zlib_attempt6,0.005154639175257732,3,579,True,291.4170156251639,28948
zlib_attempt7,0.0,0,579,True,183.5750035541132,18340
zlib_attempt8,0.005181347150259067,3,576,True,249.4204774647951,25301
zlib_attempt9,0.001736111111111111,1,575,True,203.48580296244472,20110
zlib_attempt10,0.0,0,575,True,239.3764265300706,23892
zlib_attempt11,0.0,0,575,True,292.0933060795069,32007
zlib_attempt12,0.0,0,575,True,193.9789798343554,18374
zlib_attempt13,0.0,0,575,True,235.02431703265756,24556
zlib_attempt14,0.017391304347826087,10,565,True,275.8286515008658,28219
zlib_attempt15,0.0,0,565,True,264.0406028907746,25274
zlib_attempt16,0.0,0,565,True,182.1850980790332,19093
zlib_attempt17,0.0035398230088495575,2,563,True,286.2481164718047,33009
zlib_attempt18,0.021314387211367674,12,551,True,387.71560211014,42866
zlib_attempt19,0.0,0,551,,256.13876677304506,26597
zlib_attempt20,0.0,0,551,True,340.1807409245521,37989
